component_id,name,observed_version,original_cpe,source,source_name,description,payload_summary,actual_product,actual_vendor,actual_product_version,product_classification,product_reason,product_evidence,version_reason,version_evidence,cpe_family,cpe_family_binding_basis,cpe_resolution_path,active_exact_match,deprecated_match,deprecated_resolution,resolved_active_cpe,configuration_gate_passed,configuration_only_match,configuration_criteria,proposed_gt_cpe,proposed_decision,decision_reason,discrepancy_fields,evidence_strength,human_validation_required,human_validation_reason,exact_firmware_evidence
199628,data-sender-api-mod-http,1,cpe:2.3:a:data-sender-api-mod-http:data-sender-api-mod-http:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-http,Vuci Data Sender API HTTP module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_http.lua,data sender api mod http,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API HTTP module; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_http.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-http.control; list=/usr/lib/opkg/info/data-sender-api-mod-http.list; status_version_matches=True
199629,data-sender-api-mod-lua-in,1,cpe:2.3:a:data-sender-api-mod-lua-in:data-sender-api-mod-lua-in:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-lua-in,Vuci Data Sender API Lua module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_lua.lua,data sender api mod lua in,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Lua module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_lua.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-lua-in.control; list=/usr/lib/opkg/info/data-sender-api-mod-lua-in.list; status_version_matches=True
199630,data-sender-api-mod-lua_format,1,cpe:2.3:a:data-sender-api-mod-lua_format:data-sender-api-mod-lua_format:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-lua_format,Vuci Data Sender API Lua Format module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_formats/ds_format_lua.lua,data sender api mod lua format,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Lua Format module; paths=/usr/lib/lua/api/services/ds_formats/ds_format_lua.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-lua_format.control; list=/usr/lib/opkg/info/data-sender-api-mod-lua_format.list; status_version_matches=True
199631,data-sender-api-mod-mdcollect,1,cpe:2.3:a:data-sender-api-mod-mdcollect:data-sender-api-mod-mdcollect:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-mdcollect,Vuci Data Sender API Mobile Usage module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_mdcollect.lua,data sender api mod mdcollect,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Mobile Usage module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_mdcollect.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-mdcollect.control; list=/usr/lib/opkg/info/data-sender-api-mod-mdcollect.list; status_version_matches=True
199632,data-sender-api-mod-modbus-alarm,1,cpe:2.3:a:data-sender-api-mod-modbus-alarm:data-sender-api-mod-modbus-alarm:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-modbus-alarm,Vuci Data Sender API Modbus Alarm module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_modbus_alarm.lua,data sender api mod modbus alarm,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Modbus Alarm module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_modbus_alarm.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-modbus-alarm.control; list=/usr/lib/opkg/info/data-sender-api-mod-modbus-alarm.list; status_version_matches=True
199633,data-sender-api-mod-modbus,1,cpe:2.3:a:data-sender-api-mod-modbus:data-sender-api-mod-modbus:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-modbus,Vuci Data Sender API Modbus module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_modbus.lua,data sender api mod modbus,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API Modbus module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_modbus.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-modbus.control; list=/usr/lib/opkg/info/data-sender-api-mod-modbus.list; status_version_matches=True
199634,data-sender-api-mod-mqtt-in,1,cpe:2.3:a:data-sender-api-mod-mqtt-in:data-sender-api-mod-mqtt-in:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-mqtt-in,Vuci Data Sender API MQTT Input module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_mqtt.lua,data sender api mod mqtt in,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API MQTT Input module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_mqtt.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-mqtt-in.control; list=/usr/lib/opkg/info/data-sender-api-mod-mqtt-in.list; status_version_matches=True
199635,data-sender-api-mod-mqtt-out,1,cpe:2.3:a:data-sender-api-mod-mqtt-out:data-sender-api-mod-mqtt-out:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-mqtt-out,Vuci Data Sender API MQTT Output module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_mqtt.lua,data sender api mod mqtt out,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API MQTT Output module; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_mqtt.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-mqtt-out.control; list=/usr/lib/opkg/info/data-sender-api-mod-mqtt-out.list; status_version_matches=True
199636,data-sender-api-mod-opcua,1,cpe:2.3:a:data-sender-api-mod-opcua:data-sender-api-mod-opcua:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-opcua,Vuci Data Sender API OPCUA module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_opcua.lua,data sender api mod opcua,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API OPCUA module; paths=/usr/lib/lua/api/services/ds_inputs/ds_input_opcua.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-opcua.control; list=/usr/lib/opkg/info/data-sender-api-mod-opcua.list; status_version_matches=True
199637,data-sender-api-mod-ubus,1,cpe:2.3:a:data-sender-api-mod-ubus:data-sender-api-mod-ubus:1:*:*:*:*:*:*:*,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,data-sender-api-mod-ubus,Vuci Data Sender API UBUS module,files=1; exec=0; lib=0; plugin=1; kmod=0; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_ubus.lua,data sender api mod ubus,Teltonika,1,DIRECT_SUBCOMPONENT_NO_PARENT_INHERITANCE,"VuCI API/UI package is a feature module of the firmware interface, not an independently versioned parent product.",Exact control/list/status: Source=feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api; role=PLUGIN_OR_MODULE; Description=Vuci Data Sender API UBUS module; paths=/usr/lib/lua/api/services/ds_outputs/ds_output_ubus.lua,OBSERVED_COMPONENT_VERSION_PRESERVED_NO_PARENT_MAPPING,Exact installed control Version equals the SBOM version; no parent product version is inferred.,,,NO_DIRECT_CPE,,,NOT_ENCOUNTERED,,false,false,,,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,NON_DIRECT_SUBCOMPONENT,N/A,MODERATE,false,,control=/usr/lib/opkg/info/data-sender-api-mod-ubus.control; list=/usr/lib/opkg/info/data-sender-api-mod-ubus.list; status_version_matches=True
