component_id,component_name,sbom_version,source,source_name,description,depends,representative_paths,sibling_packages,package_role,product_identity_status,actual_product,actual_product_version,canonical_gt_cpe,group_type,duplicate_group_id,duplicate_group_status,representative_component,current_gt_cpe,recommended_gt_cpe,current_validation_result,recommended_validation_result,recommendation,reason,expected_discrepancy_after_change,exact_firmware_evidence
199686,ipset,7.6-1,package/network/utils/ipset,ipset,IPset administration utility,"libc, kmod-ipt-ipset, libmnl0, libipset13",/usr/sbin/ipset,ipset | libipset13,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,ipset,7.6,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-03,KEEP_SINGLE_REPRESENTATIVE,ipset,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UPSTREAM_PRODUCT_REPRESENTATIVE,UNCHANGED,control=/usr/lib/opkg/info/ipset.control; list=/usr/lib/opkg/info/ipset.list; status_version_matches=True
199690,iptables,1.8.7-3,package/network/utils/iptables,iptables,"IP firewall administration tool.

Matches:
- icmp
- tcp
- udp
- comment
- conntrack
- limit
- mac
- mark
- multiport
- set
- state
- time

Targets:
- ACCEPT
- CT
- DNAT
- DROP
- REJECT
- FLOWOFFLOAD
- LOG
- MARK
- MASQUERADE
- REDIRECT
- SET
- SNAT
- TCPMSS

Tables:
- filter
- mangle
- nat
- raw","libc, kmod-ipt-core, libip4tc2, libip6tc2, libxtables12",/usr/sbin/iptables-save | /usr/sbin/xtables-legacy-multi,ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,iptables,1.8.7,cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-04,KEEP_SINGLE_REPRESENTATIVE,iptables,cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:iptables:1.8.7:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UPSTREAM_PRODUCT_REPRESENTATIVE,UNCHANGED,control=/usr/lib/opkg/info/iptables.control; list=/usr/lib/opkg/info/iptables.list; status_version_matches=True
199691,iw-515,5.19-1,package/network/utils/iw-515,iw-515,cfg80211 interface configuration utility,"libc, libnl-tiny2023-04-02",/usr/sbin/iw,iw-515,UTILITY_OR_CLI_PACKAGE,POSSIBLE_PRODUCT_CANDIDATE,iw,5.19,cpe:2.3:a:kernel:iw:5.19:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,iw-515,cpe:2.3:a:kernel:iw:5.19:*:*:*:*:*:*:*,cpe:2.3:a:kernel:iw:5.19:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/iw-515.control; list=/usr/lib/opkg/info/iw-515.list; status_version_matches=True
199845,libc,1.2.4-3,package/libs/toolchain,libc,C library,libgcc,/usr/bin/ldd | /lib/ld-musl-mipsel-sf.so.1 | /lib/libc.so,libatomic1 | libc | libgcc1 | libpthread | librt | libstdcpp6,SPLIT_RUNTIME_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,musl,1.2.4,cpe:2.3:a:musl-libc:musl:1.2.4:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libc,cpe:2.3:a:musl-libc:musl:1.2.4:*:*:*:*:*:*:*,cpe:2.3:a:musl-libc:musl:1.2.4:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libc.control; list=/usr/lib/opkg/info/libc.list; status_version_matches=True
199846,libcap-bin,2.69-1,package/libs/libcap,libcap-bin,"Linux capabilities
.
This package contains the libcap utilities.","libc, libcap",/usr/sbin/setcap | /usr/sbin/getcap,libcap | libcap-bin,UTILITY_OR_CLI_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,libcap,2.69,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-01,KEEP_SINGLE_REPRESENTATIVE,libcap,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,,OFFICIAL_CPE_MAPPED,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,REMOVE_DUPLICATED_GT_CPE,DERIVED_SPLIT_PACKAGE_NO_CPE_INHERITANCE,N/A,control=/usr/lib/opkg/info/libcap-bin.control; list=/usr/lib/opkg/info/libcap-bin.list; status_version_matches=True
199847,libcap-ng,0.8.1-1,feeds/packages/libs/libcap-ng,libcap-ng,POSIX capabilities library library,libc,/usr/lib/libcap-ng.so | /usr/lib/libcap-ng.so.0.0.0,libcap-ng,LIBRARY_PACKAGE,AMBIGUOUS,libcap-ng,0.8.1,cpe:2.3:a:libcap-ng_project:libcap-ng:0.8.1:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libcap-ng,cpe:2.3:a:libcap-ng_project:libcap-ng:0.8.1:*:*:*:*:*:*:*,cpe:2.3:a:libcap-ng_project:libcap-ng:0.8.1:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libcap-ng.control; list=/usr/lib/opkg/info/libcap-ng.list; status_version_matches=True
199848,libcap,2.69-1,package/libs/libcap,libcap,Linux capabilities library library,libc,/usr/lib/libcap.so.2.69 | /usr/lib/libcap.so,libcap | libcap-bin,LIBRARY_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,libcap,2.69,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-01,KEEP_SINGLE_REPRESENTATIVE,libcap,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,cpe:2.3:a:libcap_project:libcap:2.69:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UPSTREAM_PRODUCT_REPRESENTATIVE,UNCHANGED,control=/usr/lib/opkg/info/libcap.control; list=/usr/lib/opkg/info/libcap.list; status_version_matches=True
199849,libcares,1.19.1-2,package/libs/c-ares,libcares,"c-ares is a C library for asynchronous DNS requests (including name resolves)

C89 compatibility, MIT licensed, builds for and runs on POSIX, Windows,
Netware, Android and many more operating systems.",libc,/usr/lib/libcares.so.2 | /usr/lib/libcares.so.2.6.1,libcares,LIBRARY_PACKAGE,AMBIGUOUS,c-ares,1.19.1,cpe:2.3:a:c-ares:c-ares:1.19.1:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libcares,cpe:2.3:a:c-ares:c-ares:1.19.1:*:*:*:*:*:*:*,cpe:2.3:a:c-ares:c-ares:1.19.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libcares.control; list=/usr/lib/opkg/info/libcares.list; status_version_matches=True
199854,libcurl4,8.11.0-23.2,package/network/utils/curl,libcurl,A client-side URL transfer library,"libc, libopenssl3, libnghttp2-14, ca-bundle",/usr/lib/libcurl.so.4 | /usr/lib/libcurl.so.4.8.0,curl | libcurl4,LIBRARY_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,libcurl,8.11.0,cpe:2.3:a:haxx:libcurl:8.11.0:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libcurl4,cpe:2.3:a:haxx:libcurl:8.11.0:*:*:*:*:*:*:*,cpe:2.3:a:haxx:libcurl:8.11.0:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libcurl4.control; list=/usr/lib/opkg/info/libcurl4.list; status_version_matches=True
199862,libipset13,7.6-1,package/network/utils/ipset,libipset,IPset administration utility,"libc, kmod-ipt-ipset, libmnl0",/usr/lib/libipset.so.13 | /usr/lib/libipset.so.13.1.0,ipset | libipset13,LIBRARY_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,ipset,7.6,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-03,KEEP_SINGLE_REPRESENTATIVE,ipset,cpe:2.3:a:netfilter:ipset:7.6:*:*:*:*:*:*:*,,VERSION_NOT_IN_DICTIONARY,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,REMOVE_DUPLICATED_GT_CPE,DERIVED_SPLIT_PACKAGE_NO_CPE_INHERITANCE,N/A,control=/usr/lib/opkg/info/libipset13.control; list=/usr/lib/opkg/info/libipset13.list; status_version_matches=True
199866,libjson-c5,0.15-2,package/libs/libjson-c,libjson-c,This package contains a library for javascript object notation backends.,libc,/usr/lib/libjson-c.so.5.1.0 | /usr/lib/libjson-c.so.5,libjson-c5,LIBRARY_PACKAGE,AMBIGUOUS,json-c,0.15,cpe:2.3:a:json-c:json-c:0.15:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libjson-c5,cpe:2.3:a:json-c:json-c:0.15:*:*:*:*:*:*:*,cpe:2.3:a:json-c:json-c:0.15:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libjson-c5.control; list=/usr/lib/opkg/info/libjson-c5.list; status_version_matches=True
199870,liblua5.1.5,5.1.5-9,package/utils/lua,liblua,"Lua is a powerful light-weight programming language designed for extending 
applications. Lua is also frequently used as a general-purpose, stand-alone
language. Lua is free software.
This package contains the Lua shared libraries, needed by other programs.",libc,/usr/lib/liblua.so.5.1.5,liblua5.1.5 | lua,LIBRARY_PACKAGE,PARTIAL_OR_SPLIT_COMPONENT,Lua,5.1.5,cpe:2.3:a:lua:lua:5.1.5:*:*:*:*:*:*:*,DUPLICATED_GT_CPE,DUP-02,KEEP_SINGLE_REPRESENTATIVE,lua,cpe:2.3:a:lua:lua:5.1.5:*:*:*:*:*:*:*,,VERSION_NOT_IN_DICTIONARY,DIRECT_OFFICIAL_CPE_NOT_CONFIRMED,REMOVE_DUPLICATED_GT_CPE,DERIVED_SPLIT_PACKAGE_NO_CPE_INHERITANCE,N/A,control=/usr/lib/opkg/info/liblua5.1.5.control; list=/usr/lib/opkg/info/liblua5.1.5.list; status_version_matches=True
199871,liblzo2,2.10-4,package/libs/lzo,liblzo,"LZO is a data compression library which is suitable for data de-/compression
in real-time. This means it favours speed over compression ratio.",libc,/usr/lib/liblzo2.so.2 | /usr/lib/liblzo2.so.2.0.0,liblzo2,LIBRARY_PACKAGE,AMBIGUOUS,LZO,2.10,cpe:2.3:a:lzo_project:lzo:2.10:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,liblzo2,cpe:2.3:a:lzo_project:lzo:2.10:*:*:*:*:*:*:*,cpe:2.3:a:lzo_project:lzo:2.10:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/liblzo2.control; list=/usr/lib/opkg/info/liblzo2.list; status_version_matches=True
199875,libmnl0,1.0.4-2,package/libs/libmnl,libmnl,"libmnl is a minimalistic user-space library oriented to Netlink developers.
There are a lot of common tasks in parsing, validating, constructing of
both the Netlink header and TLVs that are repetitive and easy to get wrong.
This library aims to provide simple helpers that allows you to re-use code
and to avoid re-inventing the wheel. The main features of this library are:
.
* Small: the shared library requires around 30KB for an x86-based computer.
.
* Simple: this library avoids complexity and elaborated abstractions that
tend to hide Netlink details.
.
* Easy to use: the library simplifies the work for Netlink-wise developers.
It provides functions to make socket handling, message building, validating,
parsing and sequence tracking, easier.
.
* Easy to re-use: you can use the library to build your own abstraction layer
on top of this library.
.
* Decoupling: the interdependency of the main bricks that compose the library
is reduced, i.e. the library provides many helpers, but the programmer is not
forced to use them.",libc,/usr/lib/libmnl.so.0.2.0 | /usr/lib/libmnl.so.0,libmnl0,LIBRARY_PACKAGE,AMBIGUOUS,libmnl,1.0.4,cpe:2.3:a:netfilter:libmnl:1.0.4:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libmnl0,cpe:2.3:a:netfilter:libmnl:1.0.4:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:libmnl:1.0.4:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libmnl0.control; list=/usr/lib/opkg/info/libmnl0.list; status_version_matches=True
199877,libmosquitto-ssl,2.0.20-1,package/network/services/mosquitto,libmosquitto-ssl,"Library required for mosquitto's command line client tools, also for
use by any third party software that wants to communicate with _any_
MQTT server.

Should be useable for communicating with any MQTT v3.1/3.1.1/5 compatible
server, in addition to Mosquitto.
This package is built with SSL support","libc, libpthread, librt, libcares, libuci20130104, libopenssl3, libuci20130104",/usr/lib/libmosquitto.so.1 | /usr/lib/libmosquitto.so,libmosquitto-ssl,LIBRARY_PACKAGE,AMBIGUOUS,Eclipse Mosquitto,2.0.20,cpe:2.3:a:eclipse:mosquitto:2.0.20:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libmosquitto-ssl,cpe:2.3:a:eclipse:mosquitto:2.0.20:*:*:*:*:*:*:*,cpe:2.3:a:eclipse:mosquitto:2.0.20:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libmosquitto-ssl.control; list=/usr/lib/opkg/info/libmosquitto-ssl.list; status_version_matches=True
199878,libnetfilter-conntrack3,1.0.8-1,package/libs/libnetfilter-conntrack,libnetfilter-conntrack,"libnetfilter_conntrack is a userspace library providing a programming
interface (API) to the in-kernel connection tracking state table. The
library libnetfilter_conntrack has been previously known as
libnfnetlink_conntrack and libctnetlink. This library is currently
used by conntrack-tools among many other applications.","libc, libnfnetlink0, kmod-nf-conntrack-netlink, libmnl0",/usr/lib/libnetfilter_conntrack.so.3.7.0 | /usr/lib/libnetfilter_conntrack.so.3,libnetfilter-conntrack3,LIBRARY_PACKAGE,AMBIGUOUS,libnetfilter_conntrack,1.0.8,cpe:2.3:a:netfilter:libnetfilter_conntrack:1.0.8:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libnetfilter-conntrack3,cpe:2.3:a:netfilter:libnetfilter_conntrack:1.0.8:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:libnetfilter_conntrack:1.0.8:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libnetfilter-conntrack3.control; list=/usr/lib/opkg/info/libnetfilter-conntrack3.list; status_version_matches=True
199880,libnfnetlink0,1.0.1-4,package/libs/libnfnetlink,libnfnetlink,"libnfnetlink is is the low-level library for netfilter related kernel/userspace communication.
It provides a generic messaging infrastructure for in-kernel netfilter subsystems
(such as nfnetlink_log, nfnetlink_queue, nfnetlink_conntrack) and their respective users
and/or management tools in userspace.",libc,/usr/lib/libnfnetlink.so.0 | /usr/lib/libnfnetlink.so.0.2.0,libnfnetlink0,LIBRARY_PACKAGE,AMBIGUOUS,libnfnetlink,1.0.1,cpe:2.3:a:netfilter:libnfnetlink:1.0.1:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libnfnetlink0,cpe:2.3:a:netfilter:libnfnetlink:1.0.1:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:libnfnetlink:1.0.1:*:*:*:*:*:*:*,OFFICIAL_CPE_MAPPED,OFFICIAL_CPE_MAPPED,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libnfnetlink0.control; list=/usr/lib/opkg/info/libnfnetlink0.list; status_version_matches=True
199881,libnftnl11,1.2.5-5,package/libs/libnftnl,libnftnl,"libnftnl is a userspace library providing a low-level netlink
programming interface (API) to the in-kernel nf_tables subsystem.","libc, libmnl0",/usr/lib/libnftnl.so.11 | /usr/lib/libnftnl.so.11.6.0,libnftnl11,LIBRARY_PACKAGE,AMBIGUOUS,libnftnl,1.2.5,cpe:2.3:a:netfilter:libnftnl:1.2.5:*:*:*:*:*:*:*,UNIQUE_GT_CPE,,,libnftnl11,cpe:2.3:a:netfilter:libnftnl:1.2.5:*:*:*:*:*:*:*,cpe:2.3:a:netfilter:libnftnl:1.2.5:*:*:*:*:*:*:*,VERSION_NOT_IN_DICTIONARY,VERSION_NOT_IN_DICTIONARY,KEEP_GT_CPE,UNIQUE_CANONICAL_GT_CPE,UNCHANGED,control=/usr/lib/opkg/info/libnftnl11.control; list=/usr/lib/opkg/info/libnftnl11.list; status_version_matches=True
