component_id,repository,tag,sbom_source_path,bom_ref,component_type,component_name,component_version,publisher,purl,raw_cpe,structural_status,error_message,part_raw,vendor_raw,product_raw,version_raw,update_raw,edition_raw,language_raw,sw_edition_raw,target_sw_raw,target_hw_raw,other_raw
93333,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/libssl3@3.5.7-r0?arch=x86_64&distro=alpine-3.24.1&package-id=7de879f497a38539&upstream=openssl,library,libssl3,3.5.7-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/libssl3@3.5.7-r0?arch=x86_64&distro=alpine-3.24.1&upstream=openssl,cpe:2.3:a:libssl3:libssl3:3.5.7-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libssl3,libssl3,3.5.7-r0,*,*,*,*,*,*,*
93334,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/musl@1.2.6-r2?arch=x86_64&distro=alpine-3.24.1&package-id=f7ad0ee8f1c27cb0,library,musl,1.2.6-r2,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/musl@1.2.6-r2?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:musl-libc:musl:1.2.6-r2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,musl-libc,musl,1.2.6-r2,*,*,*,*,*,*,*
93335,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/musl-utils@1.2.6-r2?arch=x86_64&distro=alpine-3.24.1&package-id=3b2be12f9ca81c73&upstream=musl,library,musl-utils,1.2.6-r2,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/musl-utils@1.2.6-r2?arch=x86_64&distro=alpine-3.24.1&upstream=musl,cpe:2.3:a:musl-utils:musl-utils:1.2.6-r2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,musl-utils,musl-utils,1.2.6-r2,*,*,*,*,*,*,*
93336,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/scanelf@1.3.9-r1?arch=x86_64&distro=alpine-3.24.1&package-id=c10ef18816140a80&upstream=pax-utils,library,scanelf,1.3.9-r1,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/scanelf@1.3.9-r1?arch=x86_64&distro=alpine-3.24.1&upstream=pax-utils,cpe:2.3:a:scanelf:scanelf:1.3.9-r1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,scanelf,scanelf,1.3.9-r1,*,*,*,*,*,*,*
93337,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/ssl_client@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1&package-id=8a9ef44e1018f213&upstream=busybox,library,ssl_client,1.37.0-r31,Sören Tempel <soeren+alpine@soeren-tempel.net>,pkg:apk/alpine/ssl_client@1.37.0-r31?arch=x86_64&distro=alpine-3.24.1&upstream=busybox,cpe:2.3:a:ssl-client:ssl-client:1.37.0-r31:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,ssl-client,ssl-client,1.37.0-r31,*,*,*,*,*,*,*
93338,docker.io/library/alpine,3.24.1,pilot/results/sboms/alpine-3.24.1.cdx.json,pkg:apk/alpine/zlib@1.3.2-r0?arch=x86_64&distro=alpine-3.24.1&package-id=eb222fe89d397776,library,zlib,1.3.2-r0,Natanael Copa <ncopa@alpinelinux.org>,pkg:apk/alpine/zlib@1.3.2-r0?arch=x86_64&distro=alpine-3.24.1,cpe:2.3:a:zlib:zlib:1.3.2-r0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,zlib,zlib,1.3.2-r0,*,*,*,*,*,*,*
93320,docker.io/library/busybox,1.38.0,pilot/results/sboms/busybox-1.38.0.cdx.json,pkg:generic/busybox@1.38.0?package-id=5a5ba7c7211dc63a,application,busybox,1.38.0,,pkg:generic/busybox@1.38.0,cpe:2.3:a:busybox:busybox:1.38.0:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,busybox,busybox,1.38.0,*,*,*,*,*,*,*
87412,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/apt@3.0.3?arch=amd64&distro=debian-13.6&package-id=0ea1a43670a5d18e,library,apt,3.0.3,APT Development Team <deity@lists.debian.org>,pkg:deb/debian/apt@3.0.3?arch=amd64&distro=debian-13.6,cpe:2.3:a:apt:apt:3.0.3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,apt,apt,3.0.3,*,*,*,*,*,*,*
87413,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/base-files@13.8%2Bdeb13u6?arch=amd64&distro=debian-13.6&package-id=852e09cf2b9dfd87,library,base-files,13.8+deb13u6,Santiago Vila <sanvila@debian.org>,pkg:deb/debian/base-files@13.8%2Bdeb13u6?arch=amd64&distro=debian-13.6,cpe:2.3:a:base-files:base-files:13.8\+deb13u6:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,base-files,base-files,13.8\+deb13u6,*,*,*,*,*,*,*
87414,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/base-passwd@3.6.7?arch=amd64&distro=debian-13.6&package-id=44aca50e14654da9,library,base-passwd,3.6.7,Shadow package maintainers <pkg-shadow-devel@lists.alioth.debian.org>,pkg:deb/debian/base-passwd@3.6.7?arch=amd64&distro=debian-13.6,cpe:2.3:a:base-passwd:base-passwd:3.6.7:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,base-passwd,base-passwd,3.6.7,*,*,*,*,*,*,*
87415,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/bash@5.2.37-2%2Bb9?arch=amd64&distro=debian-13.6&package-id=ca6f1c985bc1aba9&upstream=bash%405.2.37-2,library,bash,5.2.37-2+b9,Matthias Klose <doko@debian.org>,pkg:deb/debian/bash@5.2.37-2%2Bb9?arch=amd64&distro=debian-13.6&upstream=bash%405.2.37-2,cpe:2.3:a:bash:bash:5.2.37-2\+b9:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,bash,bash,5.2.37-2\+b9,*,*,*,*,*,*,*
87416,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/bsdutils@1%3A2.41-5?arch=amd64&distro=debian-13.6&package-id=15791da16e435065&upstream=util-linux%402.41-5,library,bsdutils,1:2.41-5,Chris Hofstaedtler <zeha@debian.org>,pkg:deb/debian/bsdutils@1%3A2.41-5?arch=amd64&distro=debian-13.6&upstream=util-linux%402.41-5,cpe:2.3:a:bsdutils:bsdutils:1\:2.41-5:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,bsdutils,bsdutils,1\:2.41-5,*,*,*,*,*,*,*
87417,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/coreutils@9.7-3?arch=amd64&distro=debian-13.6&package-id=2f8436d480a75c8c,library,coreutils,9.7-3,Michael Stone <mstone@debian.org>,pkg:deb/debian/coreutils@9.7-3?arch=amd64&distro=debian-13.6,cpe:2.3:a:coreutils:coreutils:9.7-3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,coreutils,coreutils,9.7-3,*,*,*,*,*,*,*
87418,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/dash@0.5.12-12?arch=amd64&distro=debian-13.6&package-id=e919b2d690c3a4f3,library,dash,0.5.12-12,Andrej Shadura <andrewsh@debian.org>,pkg:deb/debian/dash@0.5.12-12?arch=amd64&distro=debian-13.6,cpe:2.3:a:dash:dash:0.5.12-12:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,dash,dash,0.5.12-12,*,*,*,*,*,*,*
87419,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/debconf@1.5.91?arch=all&distro=debian-13.6&package-id=0f203ecbcf805e2b,library,debconf,1.5.91,Debconf Developers <debconf-devel@lists.alioth.debian.org>,pkg:deb/debian/debconf@1.5.91?arch=all&distro=debian-13.6,cpe:2.3:a:debconf:debconf:1.5.91:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,debconf,debconf,1.5.91,*,*,*,*,*,*,*
87420,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/debian-archive-keyring@2025.1?arch=all&distro=debian-13.6&package-id=7991e18ee6aee390,library,debian-archive-keyring,2025.1,Debian Release Team <packages@release.debian.org>,pkg:deb/debian/debian-archive-keyring@2025.1?arch=all&distro=debian-13.6,cpe:2.3:a:debian-archive-keyring:debian-archive-keyring:2025.1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,debian-archive-keyring,debian-archive-keyring,2025.1,*,*,*,*,*,*,*
87421,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/debianutils@5.23.2?arch=amd64&distro=debian-13.6&package-id=1a372c2eb99c9c63,library,debianutils,5.23.2,Ileana Dumitrescu <ileanadumitrescu95@gmail.com>,pkg:deb/debian/debianutils@5.23.2?arch=amd64&distro=debian-13.6,cpe:2.3:a:debianutils:debianutils:5.23.2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,debianutils,debianutils,5.23.2,*,*,*,*,*,*,*
87422,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/diffutils@1%3A3.10-4?arch=amd64&distro=debian-13.6&package-id=928a2837cd45ff34,library,diffutils,1:3.10-4,Santiago Vila <sanvila@debian.org>,pkg:deb/debian/diffutils@1%3A3.10-4?arch=amd64&distro=debian-13.6,cpe:2.3:a:diffutils:diffutils:1\:3.10-4:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,diffutils,diffutils,1\:3.10-4,*,*,*,*,*,*,*
87423,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/dpkg@1.22.22?arch=amd64&distro=debian-13.6&package-id=3fcb1891109bbf9a,library,dpkg,1.22.22,Dpkg Developers <debian-dpkg@lists.debian.org>,pkg:deb/debian/dpkg@1.22.22?arch=amd64&distro=debian-13.6,cpe:2.3:a:dpkg:dpkg:1.22.22:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,dpkg,dpkg,1.22.22,*,*,*,*,*,*,*
87424,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/findutils@4.10.0-3?arch=amd64&distro=debian-13.6&package-id=d26956c159c0ed3a,library,findutils,4.10.0-3,Andreas Metzler <ametzler@debian.org>,pkg:deb/debian/findutils@4.10.0-3?arch=amd64&distro=debian-13.6,cpe:2.3:a:findutils:findutils:4.10.0-3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,findutils,findutils,4.10.0-3,*,*,*,*,*,*,*
87425,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/gcc-14-base@14.2.0-19?arch=amd64&distro=debian-13.6&package-id=8a928cc6733b8d4c&upstream=gcc-14,library,gcc-14-base,14.2.0-19,Debian GCC Maintainers <debian-gcc@lists.debian.org>,pkg:deb/debian/gcc-14-base@14.2.0-19?arch=amd64&distro=debian-13.6&upstream=gcc-14,cpe:2.3:a:gcc-14-base:gcc-14-base:14.2.0-19:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,gcc-14-base,gcc-14-base,14.2.0-19,*,*,*,*,*,*,*
87426,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/grep@3.11-4?arch=amd64&distro=debian-13.6&package-id=a92d218620498fb7,library,grep,3.11-4,Anibal Monsalve Salazar <anibal@debian.org>,pkg:deb/debian/grep@3.11-4?arch=amd64&distro=debian-13.6,cpe:2.3:a:grep:grep:3.11-4:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,grep,grep,3.11-4,*,*,*,*,*,*,*
87427,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/gzip@1.13-1?arch=amd64&distro=debian-13.6&package-id=b30644f429eabdac,library,gzip,1.13-1,Milan Kupcevic <milan@debian.org>,pkg:deb/debian/gzip@1.13-1?arch=amd64&distro=debian-13.6,cpe:2.3:a:gzip:gzip:1.13-1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,gzip,gzip,1.13-1,*,*,*,*,*,*,*
87428,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/hostname@3.25?arch=amd64&distro=debian-13.6&package-id=99de93ca9ff6e65f,library,hostname,3.25,Michael Meskes <meskes@debian.org>,pkg:deb/debian/hostname@3.25?arch=amd64&distro=debian-13.6,cpe:2.3:a:hostname:hostname:3.25:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,hostname,hostname,3.25,*,*,*,*,*,*,*
87429,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/init-system-helpers@1.69~deb13u1?arch=all&distro=debian-13.6&package-id=40e23b20a464282c,library,init-system-helpers,1.69~deb13u1,Debian systemd Maintainers <pkg-systemd-maintainers@lists.alioth.debian.org>,pkg:deb/debian/init-system-helpers@1.69~deb13u1?arch=all&distro=debian-13.6,cpe:2.3:a:init-system-helpers:init-system-helpers:1.69\~deb13u1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,init-system-helpers,init-system-helpers,1.69\~deb13u1,*,*,*,*,*,*,*
87430,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libacl1@2.3.2-2%2Bb1?arch=amd64&distro=debian-13.6&package-id=0af6f2d3417a318d&upstream=acl%402.3.2-2,library,libacl1,2.3.2-2+b1,Guillem Jover <guillem@debian.org>,pkg:deb/debian/libacl1@2.3.2-2%2Bb1?arch=amd64&distro=debian-13.6&upstream=acl%402.3.2-2,cpe:2.3:a:libacl1:libacl1:2.3.2-2\+b1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libacl1,libacl1,2.3.2-2\+b1,*,*,*,*,*,*,*
87431,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libapt-pkg7.0@3.0.3?arch=amd64&distro=debian-13.6&package-id=25f4161ec6258e4d&upstream=apt,library,libapt-pkg7.0,3.0.3,APT Development Team <deity@lists.debian.org>,pkg:deb/debian/libapt-pkg7.0@3.0.3?arch=amd64&distro=debian-13.6&upstream=apt,cpe:2.3:a:libapt-pkg7.0:libapt-pkg7.0:3.0.3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libapt-pkg7.0,libapt-pkg7.0,3.0.3,*,*,*,*,*,*,*
87432,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libattr1@1%3A2.5.2-3?arch=amd64&distro=debian-13.6&package-id=6f2066ac1c2128fd&upstream=attr,library,libattr1,1:2.5.2-3,Guillem Jover <guillem@debian.org>,pkg:deb/debian/libattr1@1%3A2.5.2-3?arch=amd64&distro=debian-13.6&upstream=attr,cpe:2.3:a:libattr1:libattr1:1\:2.5.2-3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libattr1,libattr1,1\:2.5.2-3,*,*,*,*,*,*,*
87434,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libaudit1@1%3A4.0.2-2%2Bb2?arch=amd64&distro=debian-13.6&package-id=2ca8f5fa0f4e4bfa&upstream=audit%401%3A4.0.2-2,library,libaudit1,1:4.0.2-2+b2,Laurent Bigonville <bigon@debian.org>,pkg:deb/debian/libaudit1@1%3A4.0.2-2%2Bb2?arch=amd64&distro=debian-13.6&upstream=audit%401%3A4.0.2-2,cpe:2.3:a:libaudit1:libaudit1:1\:4.0.2-2\+b2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libaudit1,libaudit1,1\:4.0.2-2\+b2,*,*,*,*,*,*,*
87433,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libaudit-common@1%3A4.0.2-2?arch=all&distro=debian-13.6&package-id=6cb43ac21ec2f2a0&upstream=audit,library,libaudit-common,1:4.0.2-2,Laurent Bigonville <bigon@debian.org>,pkg:deb/debian/libaudit-common@1%3A4.0.2-2?arch=all&distro=debian-13.6&upstream=audit,cpe:2.3:a:libaudit-common:libaudit-common:1\:4.0.2-2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libaudit-common,libaudit-common,1\:4.0.2-2,*,*,*,*,*,*,*
87435,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libblkid1@2.41-5?arch=amd64&distro=debian-13.6&package-id=229bfebd2f7fc7f3&upstream=util-linux,library,libblkid1,2.41-5,Chris Hofstaedtler <zeha@debian.org>,pkg:deb/debian/libblkid1@2.41-5?arch=amd64&distro=debian-13.6&upstream=util-linux,cpe:2.3:a:libblkid1:libblkid1:2.41-5:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libblkid1,libblkid1,2.41-5,*,*,*,*,*,*,*
87436,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libbsd0@0.12.2-2?arch=amd64&distro=debian-13.6&package-id=5421a64a3af7445b&upstream=libbsd,library,libbsd0,0.12.2-2,Guillem Jover <guillem@debian.org>,pkg:deb/debian/libbsd0@0.12.2-2?arch=amd64&distro=debian-13.6&upstream=libbsd,cpe:2.3:a:libbsd0:libbsd0:0.12.2-2:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libbsd0,libbsd0,0.12.2-2,*,*,*,*,*,*,*
87437,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libbz2-1.0@1.0.8-6?arch=amd64&distro=debian-13.6&package-id=6004b03bf692a003&upstream=bzip2,library,libbz2-1.0,1.0.8-6,Anibal Monsalve Salazar <anibal@debian.org>,pkg:deb/debian/libbz2-1.0@1.0.8-6?arch=amd64&distro=debian-13.6&upstream=bzip2,cpe:2.3:a:libbz2-1.0:libbz2-1.0:1.0.8-6:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libbz2-1.0,libbz2-1.0,1.0.8-6,*,*,*,*,*,*,*
87439,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libc6@2.41-12%2Bdeb13u3?arch=amd64&distro=debian-13.6&package-id=396f0047ff1f6fad&upstream=glibc,library,libc6,2.41-12+deb13u3,GNU Libc Maintainers <debian-glibc@lists.debian.org>,pkg:deb/debian/libc6@2.41-12%2Bdeb13u3?arch=amd64&distro=debian-13.6&upstream=glibc,cpe:2.3:a:libc6:libc6:2.41-12\+deb13u3:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libc6,libc6,2.41-12\+deb13u3,*,*,*,*,*,*,*
87441,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libcap2@1%3A2.75-10%2Bdeb13u1%2Bb1?arch=amd64&distro=debian-13.6&package-id=82b01daae666f7f2&upstream=libcap2%401%3A2.75-10%2Bdeb13u1,library,libcap2,1:2.75-10+deb13u1+b1,Christian Kastner <ckk@debian.org>,pkg:deb/debian/libcap2@1%3A2.75-10%2Bdeb13u1%2Bb1?arch=amd64&distro=debian-13.6&upstream=libcap2%401%3A2.75-10%2Bdeb13u1,cpe:2.3:a:libcap2:libcap2:1\:2.75-10\+deb13u1\+b1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libcap2,libcap2,1\:2.75-10\+deb13u1\+b1,*,*,*,*,*,*,*
87440,docker.io/library/memcached,1.6.45,pilot/results/sboms/memcached-1.6.45.cdx.json,pkg:deb/debian/libcap-ng0@0.8.5-4%2Bb1?arch=amd64&distro=debian-13.6&package-id=b41a5e7ee674f97b&upstream=libcap-ng%400.8.5-4,library,libcap-ng0,0.8.5-4+b1,Håvard F. Aasen <havard.f.aasen@pfft.no>,pkg:deb/debian/libcap-ng0@0.8.5-4%2Bb1?arch=amd64&distro=debian-13.6&upstream=libcap-ng%400.8.5-4,cpe:2.3:a:libcap-ng0:libcap-ng0:0.8.5-4\+b1:*:*:*:*:*:*:*,STRUCTURALLY_VALID,,a,libcap-ng0,libcap-ng0,0.8.5-4\+b1,*,*,*,*,*,*,*
