property_key,semantic_key,component_count,coverage_percent,occurrence_count,distinct_value_count,representative_values,value_pattern,firmware_path_related,analysis_source_binary_path_related,package_source_traceability_use,sdk_makefile_traceability
EMBA:sbom:23:dependency,dependency,3,0.52,3,3,'rpcd-mod-file' | 'libuci20130104' | 'strongswan-mod-revocation',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:24:dependency,dependency,3,0.52,3,3,'rpcd-mod-iwinfo' | 'mobutils' | 'strongswan-mod-sha1',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:25:dependency,dependency,2,0.34,2,2,'rpcd-mod-mnfinfo' | 'strongswan-mod-socket-default',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:26:dependency,dependency,2,0.34,2,2,'rpcd-mod-rpcsys' | 'strongswan-mod-updown',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:27:dependency,dependency,2,0.34,2,2,'rpcd-mod-rrdns' | 'strongswan-mod-vici',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:28:dependency,dependency,2,0.34,2,2,'uhttpd' | 'strongswan-mod-x509',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:29:dependency,dependency,2,0.34,2,2,'uhttpd-mod-lua' | 'strongswan-mod-xauth-generic',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:2:minimal_identifier,minimal_identifier,575,98.8,575,575,'\::api-core:1' | '\::apn_db:7.13.0.2' | '\::avl:2025-04-29-2' | '\::base-files:2606-r16279-5cc0535800' | '\::block-mount:2022-05-03-9e11b372-28',QUOTED_STRING,False,False,Repeats detector identity and version.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:2:source_arch,source_arch,7,1.2,7,3,'data' | 'MIPS' | 'setgid ELF 32-bit LSB executable',QUOTED_STRING,False,True,Binary architecture evidence.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:30:dependency,dependency,2,0.34,2,2,'uhttpd-mod-ubus' | 'strongswan-mod-xcbc',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:31:dependency,dependency,1,0.17,1,1,'strongswan-swanctl',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:3:identifer_detected,identifer_detected,1,0.17,1,1,'OpenWrt 21.02.0 r16279-5cc0535800',QUOTED_STRING,False,True,Binary/distribution version-string evidence.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:3:source_details,source_details,6,1.03,6,4,"'data' | 'ELF 32-bit LSB executable, MIPS, MIPS32 rel2 version 1 (SYSV), dynamically linked, interpreter /lib/ld-musl-mipsel-sf.so.1, no section header' | 'setuid, setgid ELF 32-bit LSB executable, MIPS, MIPS32 rel2 version 1 (SYSV), dynamically linked, interpreter /lib/ld-musl-mipsel-sf.so.1, no section header' | 'ELF 32-bit LSB shared object, MIPS, MIPS32 rel2 version 1 (SYSV), dynamically linked, no section header'",MIXED_STRING,False,True,Binary format evidence.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:3:vendor_name,vendor_name,575,98.8,575,575,'api-core' | 'apn_db' | 'avl' | 'base-files' | 'block-mount',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:4:identifer_detected,identifer_detected,6,1.03,6,6,'Linux version 5.15.176 ' | '2.4.9' | 'GNU sed version 4.0' | '3.41.2' | 'udhcp 1.34.1',QUOTED_STRING,False,True,Binary/distribution version-string evidence.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:4:minimal_identifier,minimal_identifier,1,0.17,1,1,'\:openwrt:openwrt:21.02.0:r16279-5cc0535800',QUOTED_STRING,False,False,Repeats detector identity and version.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:4:product_name,product_name,575,98.8,575,575,'api-core' | 'apn_db' | 'avl' | 'base-files' | 'block-mount',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:5:confidence,confidence,575,98.8,575,1,'high',QUOTED_STRING,False,False,"Detector confidence, not source provenance.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:5:minimal_identifier,minimal_identifier,6,1.03,6,6,'\:linux:linux_kernel:5.15.176' | '\:point-to-point_protocol_project:point-to-point_protocol:2.4.9' | '\:gnu:sed:4.0' | '\:sqlite:sqlite:3.41.2' | '\::udhcp:1.34.1',QUOTED_STRING,False,False,Repeats detector identity and version.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:5:vendor_name,vendor_name,1,0.17,1,1,'openwrt',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:6:confidence,confidence,1,0.17,1,1,'medium',QUOTED_STRING,False,False,"Detector confidence, not source provenance.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:6:dependency,dependency,572,98.28,572,62,'libc' | 'iomand1.0' | 'fstools' | 'libblobmsg-json20240329' | 'jsonfilter',MIXED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:6:product_name,product_name,6,1.03,6,6,'linux_kernel' | 'point-to-point_protocol' | 'sed' | 'sqlite' | 'udhcp',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:7:dependency,dependency,490,84.19,490,181,'liblua5.1.5' | 'libc' | 'fwtool' | 'libcurl4' | 'libblobmsg-json20240329',MIXED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:7:product_name,product_name,1,0.17,1,1,'udhcp-client',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:7:vendor_name,vendor_name,5,0.86,5,5,'linux' | 'point-to-point_protocol_project' | 'gnu' | 'sqlite' | 'w1.fi',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:8:confidence,confidence,4,0.69,4,1,'medium',QUOTED_STRING,False,False,"Detector confidence, not source provenance.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:8:dependency,dependency,297,51.03,297,120,'libubox-lua' | 'libgps' | 'jsonfilter' | 'libjson-c5' | 'liblog',MIXED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:8:product_name,product_name,1,0.17,1,1,'udhcpc',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:8:vendor_name,vendor_name,1,0.17,1,1,'wpa_supplicant',QUOTED_STRING,False,False,Detector identity hint only.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:9:confidence,confidence,1,0.17,1,1,'medium',QUOTED_STRING,False,False,"Detector confidence, not source provenance.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:9:dependency,dependency,128,21.99,128,71,'libubus-lua' | 'libgsm1.0' | 'libc' | 'libubox20240329' | 'libnetifd',QUOTED_STRING,False,False,Provides installed-package dependency evidence; source linkage is indirect.,Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:100:path,path,4,0.69,4,4,'/usr/lib/lua/api/BasicService.lua' | '/etc/init.d/boot' | '/usr/bin/microcom' | '/etc/uci-defaults/7.11/99_logger_file_change',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:101:path,path,4,0.69,4,4,'/www/cgi-bin/sentry' | '/lib/config.d/010-generate-board-json' | '/bin/usleep' | '/etc/uci-defaults/7.10/04_dropbear_enable',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:102:path,path,4,0.69,4,4,'/usr/lib/lua/vuci/interfaces_lib.lua' | '/lib/functions/preinit.sh' | '/usr/sbin/brctl' | '/etc/uci-defaults/7.11/99_migrate_ip_block_db',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:103:path,path,4,0.69,4,4,'/usr/lib/lua/vuci/network_lib.lua' | '/bin/loop' | '/bin/cat' | '/etc/uci-defaults/7.6/99-ntpclient-named-ntpserver-sections',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:104:path,path,4,0.69,4,4,'/usr/lib/lua/vuci/board.lua' | '/lib/preinit/83_eventslog_partition' | '/usr/sbin/arping' | '/etc/uci-defaults/7.5/102_network_stp',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:105:path,path,4,0.69,4,4,'/etc/config/vuci' | '/etc/config/macchina' | '/etc/init.d/ntpserver' | '/etc/uci-defaults/7.13/98_events_reporting_log_msg',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:106:path,path,3,0.52,3,3,'/usr/lib/lua/vuci/package_checker.lua' | '/bin/passwd' | '/etc/uci-defaults/old/16_gps',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:107:path,path,3,0.52,3,3,'/usr/lib/lua/api/api_utils.lua' | '/sbin/getty' | '/etc/uci-defaults/7.5/99_package_restore',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:108:path,path,2,0.34,2,2,'/bin/touch' | '/etc/uci-defaults/7.7/01_add_reboot_flag',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:109:path,path,2,0.34,2,2,'/bin/tar' | '/etc/uci-defaults/7.6/99_legacy_broken_rpcd_reset',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:10:path,path,138,23.71,138,138,'/usr/share/acl.d/ds_mdcollect.json' | '/etc/init.d/ddns' | '/usr/sbin/dhcpinfo.sh' | '/lib/preinit/99_10_failsafe_dropbear' | '/usr/sbin/mkfs.ext3',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:110:path,path,2,0.34,2,2,'/usr/sbin/partprobe' | '/etc/uci-defaults/7.10/02_ipsec_firewall_rule_duplicates',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:111:path,path,2,0.34,2,2,'/usr/bin/lsusb' | '/etc/uci-defaults/7.7/2-modbus-server-add-mobile-data-type',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:112:path,path,2,0.34,2,2,'/usr/bin/yes' | '/etc/uci-defaults/old/36_cumulocity_migration',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:113:path,path,2,0.34,2,2,'/usr/bin/top' | '/etc/uci-defaults/old/17_WAN_access_to_services',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:114:path,path,2,0.34,2,2,'/sbin/fdisk' | '/etc/uci-defaults/etc/14-suid',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:115:path,path,2,0.34,2,2,'/sbin/switch_root' | '/etc/uci-defaults/old/20_openvpn_nord_ip',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:116:path,path,2,0.34,2,2,'/usr/bin/expr' | '/etc/uci-defaults/old/22_migrate_rs_ip_filters',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:117:path,path,2,0.34,2,2,'/usr/bin/env' | '/etc/uci-defaults/7.6/99-rename-wifi-scanner-acl',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:118:path,path,2,0.34,2,2,'/sbin/sysctl' | '/etc/uci-defaults/old/99_dnp3',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:119:path,path,2,0.34,2,2,'/bin/sed' | '/etc/uci-defaults/old/28_sms_gateway',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:11:path,path,100,17.18,100,100,'/etc/hotplug.d/iface/95-ddns' | '/etc/config/dfota' | '/usr/share/dnsmasq/rfc6761.conf' | '/usr/bin/dbclient' | '/usr/sbin/mkfs.ext4',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:120:path,path,2,0.34,2,2,'/usr/bin/logger' | '/etc/uci-defaults/7.13/99_openvpn_fix_options',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:121:path,path,2,0.34,2,2,'/usr/sbin/sendmail' | '/etc/uci-defaults/old/99_call_utils-mobutils',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:122:path,path,2,0.34,2,2,'/bin/chmod' | '/etc/uci-defaults/7.13/99_wireless_2ghz_add_chanlist',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:123:path,path,2,0.34,2,2,'/usr/bin/awk' | '/etc/uci-defaults/old/99_zerotier',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:124:path,path,2,0.34,2,2,'/bin/uname' | '/etc/uci-defaults/old/18_openvpn',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:125:path,path,2,0.34,2,2,'/usr/bin/which' | '/etc/uci-defaults/old/51_events_reporting',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:126:path,path,2,0.34,2,2,'/lib/upgrade/keep.d/busybox' | '/etc/uci-defaults/old/20_migrate_rs_settings',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:127:path,path,2,0.34,2,2,'/usr/bin/find' | '/etc/uci-defaults/old/51_rpcd',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:128:path,path,2,0.34,2,2,'/bin/pwage' | '/etc/uci-defaults/old/66_crypto_proposal_fix',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:129:path,path,2,0.34,2,2,'/bin/ln' | '/etc/uci-defaults/old/50_dhcp',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:12:path,path,72,12.37,72,72,'/etc/hotplug.d/block/00-media-change' | '/etc/config/ddns' | '/usr/sbin/dfota' | '/usr/lib/dnsmasq/dhcp-script.sh' | '/etc/dropbear/dropbear_ed25519_host_key',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:130:path,path,2,0.34,2,2,'/bin/ls' | '/etc/uci-defaults/7.5/16_gps_accuracy_option',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:131:path,path,2,0.34,2,2,'/sbin/pivot_root' | '/etc/uci-defaults/7.6/1-remove-hwinfo-conf',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:132:path,path,2,0.34,2,2,'/etc/config/password_policy' | '/etc/uci-defaults/old/85_quota_limit',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:133:path,path,2,0.34,2,2,'/usr/bin/cut' | '/etc/uci-defaults/old/99_firewall_index',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:134:path,path,2,0.34,2,2,'/usr/bin/du' | '/etc/uci-defaults/etc/67_firewall',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:135:path,path,2,0.34,2,2,'/bin/mv' | '/etc/uci-defaults/7.11/99_banner_configuration',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:136:path,path,2,0.34,2,2,'/usr/bin/crontab' | '/etc/uci-defaults/old/81_wifi-scanner',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:137:path,path,2,0.34,2,2,'/usr/bin/printf' | '/etc/uci-defaults/7.5/99_package_restore-rut2',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:138:path,path,2,0.34,2,2,'/bin/ping' | '/etc/uci-defaults/7.7/99_uhttpd_timeout_increase',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:139:path,path,2,0.34,2,2,'/usr/bin/timeout' | '/etc/uci-defaults/7.13/99_restore_email_to_sms',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:13:path,path,65,11.17,65,65,'/etc/opkg/openwrt/distfeeds.conf' | '/usr/sbin/swapon' | '/bin/dmesg' | '/usr/share/acl.d/ddns.json' | '/etc/init.d/dfota',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:140:path,path,2,0.34,2,2,'/usr/bin/bunzip2' | '/etc/uci-defaults/old/36_mwan3_condition_fix',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:141:path,path,2,0.34,2,2,'/usr/sbin/chpasswd' | '/etc/uci-defaults/7.12/99_restore_post_get',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:142:path,path,2,0.34,2,2,'/usr/bin/uptime' | '/etc/uci-defaults/old/99_profiles-profiler',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:143:path,path,2,0.34,2,2,'/bin/fsync' | '/etc/uci-defaults/7.9/01_uhttpd_migrate_rfc1918',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:144:path,path,2,0.34,2,2,'/usr/sbin/deluser' | '/etc/uci-defaults/etc/10_shadow',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:145:path,path,2,0.34,2,2,'/bin/pidof' | '/etc/uci-defaults/old/99_firewall-2',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:146:path,path,2,0.34,2,2,'/bin/egrep' | '/etc/uci-defaults/7.7/99-add_hdop_to_tavl',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:147:path,path,2,0.34,2,2,'/usr/bin/readlink' | '/etc/uci-defaults/7.5/99_network_to_dsa',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:148:path,path,2,0.34,2,2,'/usr/bin/strings' | '/etc/uci-defaults/7.7/99_restore_packages',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:149:path,path,2,0.34,2,2,'/bin/ps' | '/etc/uci-defaults/7.8/99_hotspot_directory_migrate',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
EMBA:sbom:location:14:path,path,59,10.14,59,59,'/etc/proprietary_keys/780b53e9434e73a6' | '/lib/libblkid-tiny.so' | '/usr/bin/id' | '/usr/lib/ddns/dynamic_dns_functions.sh' | '/etc/config/dhcp',ABSOLUTE_PATH,True,False,"Lists installed firmware files; useful for role evidence, not a source Makefile path.",Not testable: no exact-version SDK/GPL artifact was available.
