source_package,installed_component_count,installed_packages,source_structure,is_vendor_specific,makefile_path_candidate,makefile_verified,evidence_origin
feeds/luci/libs/luci-lib-ip,1,luci-lib-ip,ONE_SOURCE_ONE_INSTALLED_PACKAGE,False,feeds/luci/libs/luci-lib-ip/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-cli/vuci-app-cli-api,1,vuci-app-cli-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-cli/vuci-app-cli-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-cli/vuci-app-cli-ui,1,vuci-app-cli-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-cli/vuci-app-cli-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-core/vuci-app-core-api,1,vuci-app-core-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-core/vuci-app-core-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-core/vuci-app-core-ui,1,vuci-app-core-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-core/vuci-app-core-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api,13,data-sender-api-mod-format-custom | data-sender-api-mod-gsm | data-sender-api-mod-http | data-sender-api-mod-lua-in | data-sender-api-mod-lua_format | data-sender-api-mod-mdcollect | data-sender-api-mod-modbus | data-sender-api-mod-modbus-alarm | data-sender-api-mod-mqtt-in | data-sender-api-mod-mqtt-out | data-sender-api-mod-opcua | data-sender-api-mod-ubus | vuci-app-data-sender-api,ONE_SOURCE_MULTIPLE_INSTALLED_PACKAGES,True,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-ui,1,vuci-app-data-sender-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-data-sender/vuci-app-data-sender-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-ddns/vuci-app-ddns-api,1,vuci-app-ddns-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-ddns/vuci-app-ddns-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-ddns/vuci-app-ddns-ui,1,vuci-app-ddns-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-ddns/vuci-app-ddns-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-dhcp/vuci-app-dhcp-api,1,vuci-app-dhcp-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-dhcp/vuci-app-dhcp-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-dhcp/vuci-app-dhcp-ui,1,vuci-app-dhcp-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-dhcp/vuci-app-dhcp-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-dns/vuci-app-dns-api,1,vuci-app-dns-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-dns/vuci-app-dns-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-dns/vuci-app-dns-ui,1,vuci-app-dns-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-dns/vuci-app-dns-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-event-juggler/vuci-app-event-juggler-api,1,vuci-app-event-juggler-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-event-juggler/vuci-app-event-juggler-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-event-juggler/vuci-app-event-juggler-ui,1,vuci-app-event-juggler-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-event-juggler/vuci-app-event-juggler-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-events-reporting/vuci-app-events-reporting-api,1,vuci-app-events-reporting-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-events-reporting/vuci-app-events-reporting-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-events-reporting/vuci-app-events-reporting-ui,1,vuci-app-events-reporting-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-events-reporting/vuci-app-events-reporting-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-firewall/vuci-app-firewall-api,1,vuci-app-firewall-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-firewall/vuci-app-firewall-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-firewall/vuci-app-firewall-ui,1,vuci-app-firewall-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-firewall/vuci-app-firewall-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-firmware/vuci-app-firmware-api,1,vuci-app-firmware-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-firmware/vuci-app-firmware-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-firmware/vuci-app-firmware-ui,1,vuci-app-firmware-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-firmware/vuci-app-firmware-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-getty/vuci-app-getty-api,1,vuci-app-getty-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-getty/vuci-app-getty-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-getty/vuci-app-getty-ui,1,vuci-app-getty-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-getty/vuci-app-getty-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-gps/vuci-app-gps-api,1,vuci-app-gps-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-gps/vuci-app-gps-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-gps/vuci-app-gps-ui,1,vuci-app-gps-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-gps/vuci-app-gps-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-gre/vuci-app-gre-api,1,vuci-app-gre-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-gre/vuci-app-gre-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-gre/vuci-app-gre-ui,1,vuci-app-gre-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-gre/vuci-app-gre-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-io-post-get/vuci-app-io-post-get-api,1,vuci-app-io-post-get-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-io-post-get/vuci-app-io-post-get-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-io-post-get/vuci-app-io-post-get-ui,1,vuci-app-io-post-get-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-io-post-get/vuci-app-io-post-get-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-io/vuci-app-io-api,1,vuci-app-io-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-io/vuci-app-io-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-io/vuci-app-io-ui,1,vuci-app-io-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-io/vuci-app-io-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-l2tp/vuci-app-l2tp-api,1,vuci-app-l2tp-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-l2tp/vuci-app-l2tp-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-l2tp/vuci-app-l2tp-ui,1,vuci-app-l2tp-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-l2tp/vuci-app-l2tp-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-logs/vuci-app-logs-api,1,vuci-app-logs-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-logs/vuci-app-logs-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-logs/vuci-app-logs-ui,1,vuci-app-logs-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-logs/vuci-app-logs-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-memory-expansion/vuci-app-memory-expansion-api,1,vuci-app-memory-expansion-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-memory-expansion/vuci-app-memory-expansion-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-memory-expansion/vuci-app-memory-expansion-ui,1,vuci-app-memory-expansion-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-memory-expansion/vuci-app-memory-expansion-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-post-get/vuci-app-mobile-post-get-api,1,vuci-app-mobile-post-get-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-post-get/vuci-app-mobile-post-get-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-post-get/vuci-app-mobile-post-get-ui,1,vuci-app-mobile-post-get-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-post-get/vuci-app-mobile-post-get-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-usage/vuci-app-mobile-usage-api,1,vuci-app-mobile-usage-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-usage/vuci-app-mobile-usage-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-usage/vuci-app-mobile-usage-ui,1,vuci-app-mobile-usage-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-usage/vuci-app-mobile-usage-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-utilities/vuci-app-mobile-utilities-api,1,vuci-app-mobile-utilities-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-utilities/vuci-app-mobile-utilities-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile-utilities/vuci-app-mobile-utilities-ui,1,vuci-app-mobile-utilities-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile-utilities/vuci-app-mobile-utilities-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile/vuci-app-mobile-api,1,vuci-app-mobile-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile/vuci-app-mobile-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mobile/vuci-app-mobile-ui,1,vuci-app-mobile-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mobile/vuci-app-mobile-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-client/vuci-app-modbus-client-api,1,vuci-app-modbus-client-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-client/vuci-app-modbus-client-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-client/vuci-app-modbus-client-ui,1,vuci-app-modbus-client-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-client/vuci-app-modbus-client-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-gateway/vuci-app-modbus-gateway-api,1,vuci-app-modbus-gateway-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-gateway/vuci-app-modbus-gateway-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-gateway/vuci-app-modbus-gateway-ui,1,vuci-app-modbus-gateway-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-gateway/vuci-app-modbus-gateway-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-serial-gateway/vuci-app-modbus-serial-gateway-api,1,vuci-app-modbus-serial-gateway-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-serial-gateway/vuci-app-modbus-serial-gateway-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-serial-gateway/vuci-app-modbus-serial-gateway-ui,1,vuci-app-modbus-serial-gateway-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-serial-gateway/vuci-app-modbus-serial-gateway-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-serial/vuci-app-modbus-serial-api,1,vuci-app-modbus-serial-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-serial/vuci-app-modbus-serial-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-serial/vuci-app-modbus-serial-ui,1,vuci-app-modbus-serial-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-serial/vuci-app-modbus-serial-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-server/vuci-app-modbus-server-api,1,vuci-app-modbus-server-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-server/vuci-app-modbus-server-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modbus-server/vuci-app-modbus-server-ui,1,vuci-app-modbus-server-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modbus-server/vuci-app-modbus-server-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modem-control/vuci-app-modem-control-api,1,vuci-app-modem-control-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modem-control/vuci-app-modem-control-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-modem-control/vuci-app-modem-control-ui,1,vuci-app-modem-control-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-modem-control/vuci-app-modem-control-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-multiusers/vuci-app-multiusers-api,1,vuci-app-multiusers-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-multiusers/vuci-app-multiusers-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-multiusers/vuci-app-multiusers-ui,1,vuci-app-multiusers-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-multiusers/vuci-app-multiusers-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mwan3/vuci-app-mwan3-api,1,vuci-app-mwan3-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mwan3/vuci-app-mwan3-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-mwan3/vuci-app-mwan3-ui,1,vuci-app-mwan3-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-mwan3/vuci-app-mwan3-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-network-devices/vuci-app-network-devices-api,1,vuci-app-network-devices-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-network-devices/vuci-app-network-devices-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-network/vuci-app-network-api,1,vuci-app-network-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-network/vuci-app-network-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-network/vuci-app-network-ui,1,vuci-app-network-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-network/vuci-app-network-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-ntp/vuci-app-ntp-api,1,vuci-app-ntp-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-ntp/vuci-app-ntp-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-ntp/vuci-app-ntp-ui,1,vuci-app-ntp-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-ntp/vuci-app-ntp-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-opcua-server/vuci-app-opcua-server-api,1,vuci-app-opcua-server-api,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-opcua-server/vuci-app-opcua-server-api/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
feeds/vuci/applications/vuci-app-opcua-server/vuci-app-opcua-server-ui,1,vuci-app-opcua-server-ui,ONE_SOURCE_ONE_INSTALLED_PACKAGE,True,feeds/vuci/applications/vuci-app-opcua-server/vuci-app-opcua-server-ui/Makefile,False,Exact firmware installed control Source fields; exact SDK/Makefile unavailable.
