case_id,component_id,source,package,version,description,installed_payload_summary,representative_paths,sibling_packages,existing_package_role,upstream_product,official_upstream_evidence,runtime_role,product_runtime_status,decision_reason,evidence_strength,exact_evidence_basis
"IPTABLES-05","199689","package/network/utils/iptables","iptables-mod-ipsec","1.8.7-3","iptables extensions for matching IPsec traffic.","Empty package list; control metadata and dependencies describe AH, ESP, and policy matches.","(empty .list)","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","PLUGIN_OR_MODULE","iptables","UP-IPTABLES; UP-IPTABLES-EXT","IPsec match extension package","NON_PRODUCT_RUNTIME","Exact metadata identifies added match capability rather than a principal iptables command/runtime.","MODERATE","control+status with empty .list; version and architecture match"
"IPTABLES-06","199860","package/network/utils/iptables","libip4tc2","1.8.7-3","IPv4 firewall shared libiptc library.","Owns the IPv4 libiptc shared library and an internal text helper library.","/usr/lib/libip4tc.so.2 | /usr/lib/libiptext4.so","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","LIBRARY_PACKAGE","iptables","UP-IPTABLES","supporting IPv4 rule-manipulation library","NON_PRODUCT_RUNTIME","The selected upstream product is officially command-centric; this split support library is not independently established as its principal product implementation.","MODERATE","control+list+status; version and architecture match"
"IPTABLES-07","199861","package/network/utils/iptables","libip6tc2","1.8.7-3","IPv6 firewall shared libiptc library.","Owns the IPv6 libiptc shared library and an internal text helper library.","/usr/lib/libip6tc.so.2 | /usr/lib/libiptext6.so","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","LIBRARY_PACKAGE","iptables/ip6tables","UP-IPTABLES","supporting IPv6 rule-manipulation library","NON_PRODUCT_RUNTIME","The library supports the canonical command but official product evidence does not establish it as a principal product runtime in its own right.","MODERATE","control+list+status; version and architecture match"
"IPTABLES-08","199916","package/network/utils/iptables","libxtables12","1.8.7-3","IPv4/IPv6 shared xtables library.","Owns libxtables and an internal text helper library.","/usr/lib/libxtables.so.12 | /usr/lib/libiptext.so","ip6tables | iptables | iptables-mod-conntrack-extra | iptables-mod-ipopt | iptables-mod-ipsec | libip4tc2 | libip6tc2 | libxtables12","LIBRARY_PACKAGE","iptables","UP-IPTABLES; UP-IPTABLES-EXT","supporting extension-framework library","NON_PRODUCT_RUNTIME","It supports command and extension plumbing but is not the canonical userspace program identified by the official project.","MODERATE","control+list+status; version and architecture match"
"STRONGSWAN-01","200023","package/network/services/strongswan","strongswan","5.9.14-24","Open-source IPsec implementation package containing shared libraries and scripts.","Owns libstrongswan plus configuration and upgrade-preservation files.","/usr/lib/ipsec/libstrongswan.so.0 | /etc/strongswan.conf | /etc/config/ipsec","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","PRODUCT_OR_MAIN_PACKAGE","strongSwan","UP-STRONGSWAN-DEVS; UP-STRONGSWAN-CHARON","core library used by strongSwan daemons and utilities","PRODUCT_RUNTIME","Official component documentation identifies libstrongswan as the basic common library and exact payload owns it; status is not inherited by siblings.","STRONG","control+list+status; version and architecture match"
"STRONGSWAN-02","199996","package/network/services/strongswan","strongswan-charon","5.9.14-24","Contains charon, an IKEv2 keying daemon.","Owns the charon daemon, libcharon core library, and daemon configuration.","/usr/lib/ipsec/charon | /usr/lib/ipsec/libcharon.so.0 | /etc/strongswan.d/charon.conf","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","SPLIT_RUNTIME_PACKAGE","strongSwan","UP-STRONGSWAN-CHARON","primary IKEv2 daemon and daemon-core library","PRODUCT_RUNTIME","Version-matched official architecture says charon implements IKEv2 and most core code is in libcharon; exact package owns both.","STRONG","control+list+status; version and architecture match"
"STRONGSWAN-03","199997","package/network/services/strongswan","strongswan-minimal","5.9.14-24","Dependency-only meta-package for a minimal IKEv2 setup.","No installed paths; package consists only of dependencies.","(empty .list)","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","META_OR_HELPER_PACKAGE","strongSwan minimal installation profile","UP-STRONGSWAN-CHARON; UP-STRONGSWAN-PLUGINS","meta/dependency aggregation","NON_PRODUCT_RUNTIME","The exact package explicitly owns no payload and describes itself as dependency-only.","STRONG","control+status with empty .list; version and architecture match"
"STRONGSWAN-04","200003","package/network/services/strongswan","strongswan-mod-kernel-netlink","5.9.14-24","Netlink kernel interface plugin.","Owns the kernel-netlink plugin shared object and configuration.","/usr/lib/ipsec/plugins/libstrongswan-kernel-netlink.so | /etc/strongswan.d/charon/kernel-netlink.conf","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","PLUGIN_OR_MODULE","strongSwan","UP-STRONGSWAN-CHARON; UP-STRONGSWAN-PLUGINS; UP-STRONGSWAN-PLUGIN-LOAD","pluginized Linux kernel-interface backend","REVIEW_REQUIRED","Official architecture makes the kernel interface a core daemon port and the exact minimal meta-package depends on this plugin, but the available evidence does not prove exclusive runtime selection over alternatives.","MODERATE","control+list+status+sibling dependency; version and architecture match"
"STRONGSWAN-05","200007","package/network/services/strongswan","strongswan-mod-openssl","5.9.14-24","OpenSSL cryptographic plugin for strongSwan.","Owns an OpenSSL backend plugin and its configuration.","/usr/lib/ipsec/plugins/libstrongswan-openssl.so | /etc/strongswan.d/charon/openssl.conf","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","PLUGIN_OR_MODULE","strongSwan","UP-STRONGSWAN-PLUGINS; UP-STRONGSWAN-PLUGIN-LOAD","alternative cryptographic backend plugin","NON_PRODUCT_RUNTIME","Official architecture identifies cryptographic backends as plugin-provided and selectable; this package is not charon or the core libraries.","STRONG","control+list+status; version and architecture match"
"STRONGSWAN-06","200016","package/network/services/strongswan","strongswan-mod-socket-default","5.9.14-24","Default socket implementation plugin for charon.","Owns the default socket plugin shared object and configuration.","/usr/lib/ipsec/plugins/libstrongswan-socket-default.so | /etc/strongswan.d/charon/socket-default.conf","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","PLUGIN_OR_MODULE","strongSwan","UP-STRONGSWAN-CHARON; UP-STRONGSWAN-PLUGINS; UP-STRONGSWAN-PLUGIN-LOAD","pluginized default IKE socket backend","REVIEW_REQUIRED","The socket is part of the official daemon architecture and the exact minimal profile depends on this implementation, but plugin replaceability and active selection are not fully established.","MODERATE","control+list+status+sibling dependency; version and architecture match"
"STRONGSWAN-07","200018","package/network/services/strongswan","strongswan-mod-vici","5.9.14-24","Versatile IKE Configuration Interface plugin.","Owns the VICI plugin, libvici client library, and configuration.","/usr/lib/ipsec/plugins/libstrongswan-vici.so | /usr/lib/ipsec/libvici.so.0 | /etc/strongswan.d/charon/vici.conf","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","PLUGIN_OR_MODULE","strongSwan","UP-STRONGSWAN-VICI; UP-STRONGSWAN-PLUGINS","optional external control/configuration interface","NON_PRODUCT_RUNTIME","Official documentation defines VICI as a disableable control interface rather than the IKE implementation.","STRONG","control+list+status; version and architecture match"
"STRONGSWAN-08","200022","package/network/services/strongswan","strongswan-swanctl","5.9.14-24","Contains the swanctl utility.","Owns the swanctl command, its configuration, init script, and keep file.","/usr/sbin/swanctl | /etc/swanctl/swanctl.conf | /etc/init.d/swanctl","strongswan | strongswan-charon | strongswan-minimal | 24 strongswan-mod-* packages | strongswan-swanctl","UTILITY_OR_CLI_PACKAGE","strongSwan","UP-STRONGSWAN-SWANCTL; UP-STRONGSWAN-VICI; UP-STRONGSWAN-CHARON","canonical management/control client for charon","NON_PRODUCT_RUNTIME","Official documentation says swanctl configures, controls, and monitors charon through VICI; charon, not swanctl, implements IKEv2.","STRONG","control+list+status; version and architecture match"
"E2FSPROGS-01","199661","package/utils/e2fsprogs","e2fsprogs","1.47.0-2","Essential core ext filesystem utilities.","Owns mke2fs and mkfs.ext2/3/4 plus libe2p.","/usr/sbin/mke2fs | /usr/sbin/mkfs.ext2 | /usr/sbin/mkfs.ext3 | /usr/sbin/mkfs.ext4","e2fsprogs | libcomerr0 | libext2fs2 | libss2","UTILITY_OR_CLI_PACKAGE","e2fsprogs","UP-E2FSPROGS-README; UP-E2FSPROGS-MKE2FS","canonical filesystem creation utilities","PRODUCT_RUNTIME","The version-matched official manual defines these commands as the filesystem-creation programs and exact ownership contains them.","STRONG","control+list+status; version and architecture match"
"E2FSPROGS-02","199853","package/utils/e2fsprogs","libcomerr0","1.47.0-2","Common error description library bundled with e2fsprogs.","Owns the libcom_err shared library.","/usr/lib/libcom_err.so.0","e2fsprogs | libcomerr0 | libext2fs2 | libss2","LIBRARY_PACKAGE","e2fsprogs","UP-E2FSPROGS-README; UP-E2FSPROGS-INSTALL","generic supporting error library","NON_PRODUCT_RUNTIME","Exact description calls it a bundled common-error library; official suite identity centers on filesystem management programs.","MODERATE","control+list+status; version and architecture match"
"E2FSPROGS-03","199855","package/utils/e2fsprogs","libext2fs2","1.47.0-2","Library for accessing ext2, ext3, and ext4 filesystems.","Owns libext2fs; the exact e2fsprogs utility package dynamically depends on it.","/usr/lib/libext2fs.so.2","e2fsprogs | libcomerr0 | libext2fs2 | libss2","LIBRARY_PACKAGE","e2fsprogs / libext2fs boundary unresolved","UP-E2FSPROGS-README; UP-E2FSPROGS-INSTALL; UP-E2FSPROGS-EXT2FS","filesystem-access library required by the installed utility split","REVIEW_REQUIRED","Exact dependency and payload make libext2fs core-like in this firmware, while upstream installation documentation separates libraries from the management programs; v1 cannot reproducibly choose the suite boundary.","MODERATE","control+list+status+sibling dependency; version and architecture match"
"E2FSPROGS-04","199897","package/utils/e2fsprogs","libss2","1.47.0-2","Command-line interface parsing library bundled with e2fsprogs.","Owns the libss shared library.","/usr/lib/libss.so.2","e2fsprogs | libcomerr0 | libext2fs2 | libss2","LIBRARY_PACKAGE","e2fsprogs","UP-E2FSPROGS-README; UP-E2FSPROGS-INSTALL","generic supporting command parser library","NON_PRODUCT_RUNTIME","The package is a bundled parsing library, not a filesystem management executable or established principal suite runtime.","MODERATE","control+list+status; version and architecture match"
"UTIL-LINUX-01","199842","package/utils/util-linux","libblkid1","2.36.1-2","Library that identifies block-device content and metadata.","Owns only the libblkid shared library; no util-linux command is an installed sibling from this Source.","/usr/lib/libblkid.so.1 | /usr/lib/libblkid.so.1.1.0","libblkid1 | libuuid1","LIBRARY_PACKAGE","util-linux suite","UP-UTIL-LINUX; UP-UTIL-LINUX-BUILD","split block-identification library","NON_PRODUCT_RUNTIME","The official project is a utility collection and the exact Source split contains only two libraries; evidence does not establish libblkid as the util-linux suite runtime itself.","MODERATE","control+list+status; version and architecture match"
"UTIL-LINUX-02","199915","package/utils/util-linux","libuuid1","2.36.1-2","Library that generates DCE-compatible UUIDs.","Owns only the libuuid shared library; no util-linux command is an installed sibling from this Source.","/usr/lib/libuuid.so.1 | /usr/lib/libuuid.so.1.3.0","libblkid1 | libuuid1","LIBRARY_PACKAGE","util-linux suite","UP-UTIL-LINUX; UP-UTIL-LINUX-BUILD","split UUID support library","NON_PRODUCT_RUNTIME","Repository membership and Source sharing do not make this partial library the util-linux product runtime; separate library-product identity is outside this dry-run boundary.","MODERATE","control+list+status; version and architecture match"
"LINUX-01","199695","package/kernel/linux","kernel","5.15.176-1-c87d2a600c553d5338b2de4b88b39f15","Virtual kernel package.","Empty package list and no owned kernel image; dependency/metadata package only.","(empty .list)","kernel | 133 installed kmod-* siblings","KERNEL_OR_KMOD","Linux kernel","UP-LINUX; UP-LINUX-KBUILD","virtual package metadata","NON_PRODUCT_RUNTIME","The exact package explicitly describes itself as virtual and owns no resident kernel image or module payload.","STRONG","control+status with empty .list; version and architecture match"
"LINUX-02","199734","package/kernel/linux","kmod-fs-ext4","5.15.176-1","Kernel module package for EXT4 support.","Owns module autoload configuration paths; it is a kernel-module split, not the resident image.","/etc/modules-boot.d/30-fs-ext4 | /etc/modules.d/30-fs-ext4","kernel | 133 installed kmod-* siblings","KERNEL_OR_KMOD","Linux kernel parent boundary","UP-LINUX-KBUILD","loadable/built kernel feature module package","NON_PRODUCT_RUNTIME","Official build documentation separates the resident kernel image from modules; Linux parent identity is not inherited by this kmod package.","STRONG","control+list+status; version and architecture match"
"LINUX-03","199837","package/kernel/linux","kmod-wireguard","5.15.176-1","WireGuard VPN support running in the Linux kernel.","Owns a module autoload path and depends on the exact virtual kernel ABI.","/etc/modules.d/wireguard","kernel | 133 installed kmod-* siblings","KERNEL_OR_KMOD","Linux kernel parent boundary","UP-LINUX-KBUILD","kernel-module feature package","NON_PRODUCT_RUNTIME","The Linux Source does not transfer Linux parent product identity to a kmod; this does not decide any separate WireGuard product boundary.","STRONG","control+list+status; version and architecture match"
"LINUX-04","200193","NON_OPKG_DIRECT_ARTIFACT","linux_kernel","5.15.176","Direct SBOM artifact traced to the firmware kernel binary.","Direct binary traceability includes the decompressed kernel image and module-tree observations.","/logs/firmware/binwalk_extracted/firmware.extracted/0/MIPS_OpenWrt_Linux-5.15.176.bin.extracted/0/decompressed.bin","separate from 575 opkg packages; related virtual kernel and kmod splits are independently classified","BINARY_DIRECT","Linux kernel","UP-LINUX; UP-LINUX-KBUILD","resident Linux kernel image","PRODUCT_RUNTIME","The non-opkg component has direct kernel-binary traceability; unlike the virtual package and kmods it directly represents the resident kernel runtime.","STRONG","direct non-opkg SBOM artifact traceability"
